q,h,u,conc,q_b,u_b,E,D,R_n,Co,Hyp,coeff_3,t_cpu,case,d_median_input,
0.499999999,0.725962938,0.688740393,0,0,0,0,0,29.24378165,0.006887404,0,1,,1a,0.045,
1,1.06940456,0.935099809,0,0,0,0,0,24.09460116,0.009350998,0,1,,1a,0.045,
2,1.585553708,1.261388996,0,0,0,0,0,19.78792606,0.01261389,0,1,,1a,0.045,
5,2.690932914,1.858091658,0,0,0,0,0,15.18935464,0.018580917,0,1,,1a,0.045,
7.5,3.40952429,2.199720361,0,0,0,0,0,13.4940981,0.021997204,0,1,,1a,0.045,
10,4.036488326,2.477400947,0,0,0,0,0,12.40191948,0.02477401,0,1,,1a,0.045,
12.50000876,4.603321646,2.715432403,0.000085781,0.000162516,0.00596679,8.51E-05,8.51E-05,11.61085146,0.027154324,0,1,,1a,0.045,
15.00002097,5.12655207,2.925947258,0.000171153,0.000481102,0.015858687,0.000169686,0.000169686,11.00009545,0.029259473,0,1,,1a,0.045,
20.00005141,6.078816793,3.290122419,0.000314576,0.001297456,0.036060002,0.000311771,0.000311771,10.09828031,0.032901224,0,1,,1a,0.045,
25.00008865,6.940515331,3.602050778,0.000433882,0.002237295,0.054450017,0.000429888,0.000429888,9.447882668,0.036020508,0,1,,1a,0.045,
30.00013169,7.736474776,3.877752149,0.000537096,0.003245342,0.070845079,0.000532018,0.000532018,8.946419721,0.038777522,0,1,,1a,0.045,
40.00023263,9.186233605,4.354367018,0.000711477,0.005376737,0.098820846,0.000704449,0.000704449,8.206671222,0.04354367,0,1,,1a,0.045,
50.00035049,10.49917574,4.762311987,0.000857411,0.007594771,0.122101817,0.000848638,0.000848638,7.67367301,0.04762312,0,1,,1a,0.045,
60.0004829,11.7127122,5.122680545,0.000984253,0.009861027,0.142081134,0.000973879,0.000973879,7.263024464,0.051226806,0,1,,1a,0.045,
70.00062815,12.84951982,5.447723271,0.001097254,0.012156522,0.159629504,0.001085389,0.001085389,6.93238717,0.054477233,0,1,,1a,0.045,
80.00078465,13.92462251,5.745274932,0.001199687,0.014470619,0.175315757,0.001186415,0.001186415,6.657723791,0.057452749,0,1,,1a,0.045,
0.499999999,0.725962938,0.688740393,0,0,0,0,0,25.12077248,0.006887404,4,1,,1b,0.045,
1,1.06940456,0.935099809,0,0,0,0,0,20.69756234,0.009350998,4,1,,1b,0.045,
2,1.585553708,1.261388996,0,0,0,0,0,16.99807482,0.01261389,4,1,,1b,0.045,
5,2.690932914,1.858091658,0,0,0,0,0,13.04784473,0.018580917,4,1,,1b,0.045,
7.5,3.40952429,2.199720361,0,0,0,0,0,11.59159825,0.021997204,4,1,,1b,0.045,
10.00000602,4.036490853,2.477400887,8.19E-05,0.000101304,0.003818943,6.97E-05,6.97E-05,10.65117942,0.024774009,4,1,,1b,0.045,
12.50001947,4.603325855,2.715432247,0.000211814,0.000447144,0.014777924,0.00018037,0.00018037,9.970573958,0.027154323,4,1,,1b,0.045,
15.00003573,5.126557544,2.925947013,0.000323935,0.00088819,0.026353908,0.000275768,0.000275768,9.445373339,0.02925947,4,1,,1b,0.045,
20.00007542,6.078824986,3.290121934,0.000512778,0.001914126,0.047884371,0.000436321,0.000436321,8.669886687,0.032901219,4,1,,1b,0.045,
